epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,294.755,1.7369,3.01957,1.82492,0.55631,0.40589,0.39069,0.17802,1.85987,3.01553,2.03921,0.000332407,0.000332407,0.000332407
2,561.986,1.6886,2.47566,1.79339,0.49897,0.3914,0.33512,0.1419,1.96679,3.06256,2.18717,0.000663104,0.000663104,0.000663104
3,845.009,1.68841,2.33886,1.77784,0.6004,0.38104,0.41762,0.17568,1.94605,2.57622,2.0885,0.000991161,0.000991161,0.000991161
4,1129.19,1.66913,2.24151,1.7697,0.60168,0.4228,0.45088,0.2064,1.84866,2.58439,2.00018,0.00098812,0.00098812,0.00098812
5,1407.61,1.6107,2.10277,1.72596,0.67013,0.36957,0.44054,0.20096,1.81423,2.40344,2.00999,0.00098416,0.00098416,0.00098416
6,1641.41,1.60713,2.03467,1.70913,0.64315,0.49166,0.51924,0.25926,1.70352,2.19099,1.93805,0.0009802,0.0009802,0.0009802
7,1867.71,1.57608,1.99057,1.68411,0.61236,0.53588,0.54365,0.25557,1.74632,2.13823,1.90325,0.00097624,0.00097624,0.00097624
8,2082.15,1.53891,1.86765,1.66909,0.65706,0.52554,0.57012,0.27238,1.75038,2.01067,1.88304,0.00097228,0.00097228,0.00097228
9,2297.22,1.54991,1.83728,1.66208,0.72833,0.47381,0.56927,0.26905,1.74669,2.00919,1.92091,0.00096832,0.00096832,0.00096832
10,2513.13,1.52022,1.80703,1.64331,0.73565,0.49775,0.59389,0.28071,1.69289,1.8419,1.84173,0.00096436,0.00096436,0.00096436
11,2713.09,1.50365,1.77539,1.64886,0.63234,0.53546,0.60726,0.29219,1.66053,1.88902,1.82131,0.0009604,0.0009604,0.0009604
12,2926.95,1.47282,1.71305,1.62835,0.52694,0.60262,0.61081,0.28858,1.7337,1.85548,1.88211,0.00095644,0.00095644,0.00095644
13,3150.42,1.48919,1.70617,1.6222,0.67626,0.52439,0.62702,0.31212,1.65932,1.75007,1.81769,0.00095248,0.00095248,0.00095248
14,3369.07,1.48247,1.67357,1.6099,0.79793,0.48899,0.62222,0.29271,1.72618,1.72506,1.90241,0.00094852,0.00094852,0.00094852
15,3588.86,1.47795,1.67523,1.6,0.71351,0.55451,0.61608,0.31365,1.67979,1.73634,1.8271,0.00094456,0.00094456,0.00094456
16,3794.32,1.47322,1.6614,1.60239,0.77678,0.52192,0.65135,0.32422,1.62322,1.71582,1.81567,0.0009406,0.0009406,0.0009406
17,4011.05,1.47939,1.67302,1.61297,0.70231,0.5592,0.62507,0.31171,1.70161,1.66363,1.83825,0.00093664,0.00093664,0.00093664
18,4229.59,1.47728,1.65009,1.60764,0.58402,0.64481,0.66035,0.33641,1.64584,1.66005,1.79623,0.00093268,0.00093268,0.00093268
19,4450.32,1.44779,1.63523,1.58547,0.80281,0.47719,0.62825,0.31349,1.6796,1.66476,1.82129,0.00092872,0.00092872,0.00092872
20,4669.13,1.46283,1.64451,1.60542,0.79424,0.529,0.64656,0.33791,1.65701,1.63029,1.84428,0.00092476,0.00092476,0.00092476
