                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7402,                 3.0449,                 1.8498,                0.50758,                0.36455,                0.32764,                 0.1462,                 1.8795,                 3.4564,                 2.0634,             0.00033241,             0.00033241,             0.00033241
                      2,                 1.6821,                 2.4705,                  1.771,                0.39932,                0.50054,                0.43576,                0.19255,                 1.8229,                 2.7276,                 2.0107,             0.00066354,             0.00066354,             0.00066354
                      3,                 1.6832,                 2.3151,                 1.7922,                0.52916,                0.41898,                0.37507,                0.16996,                 1.9466,                  2.581,                 2.0877,             0.00099248,             0.00099248,             0.00099248
                      4,                 1.6374,                 2.2105,                 1.7493,                0.68457,                0.35876,                0.46387,                0.20015,                 1.8208,                 2.4712,                   1.98,              0.0009901,              0.0009901,              0.0009901
                      5,                 1.6399,                 2.0975,                 1.7254,                0.41774,                0.51818,                0.48408,                0.20412,                 1.8302,                 2.0977,                  2.006,              0.0009901,              0.0009901,              0.0009901
                      6,                 1.5705,                 1.9731,                 1.7008,                0.58661,                0.50951,                0.52191,                0.25997,                 1.7454,                 1.9555,                 1.9135,              0.0009868,              0.0009868,              0.0009868
                      7,                 1.6097,                 1.9781,                 1.7186,                0.43221,                0.56997,                0.50132,                0.22128,                 1.8277,                 2.0444,                 1.9747,              0.0009835,              0.0009835,              0.0009835
                      8,                 1.5576,                 1.8853,                 1.6989,                0.50943,                0.56936,                0.55898,                0.26125,                 1.7692,                 1.9424,                 1.9213,              0.0009802,              0.0009802,              0.0009802
                      9,                 1.5562,                 1.8518,                 1.6851,                0.45523,                0.61571,                0.60007,                0.28422,                  1.701,                 1.9561,                 1.8883,              0.0009769,              0.0009769,              0.0009769
                     10,                 1.5184,                 1.8094,                 1.6547,                 0.7366,                0.50301,                 0.5991,                0.29886,                 1.7178,                 1.8206,                 1.8902,              0.0009736,              0.0009736,              0.0009736
                     11,                 1.5063,                 1.7799,                 1.6479,                0.75713,                0.53116,                0.62695,                0.30167,                 1.6671,                  1.713,                 1.8298,              0.0009703,              0.0009703,              0.0009703
                     12,                 1.5017,                 1.7051,                 1.6356,                0.51585,                0.60228,                 0.5943,                0.28315,                 1.7103,                 1.7716,                 1.8473,               0.000967,               0.000967,               0.000967
                     13,                 1.5214,                 1.7628,                 1.6597,                0.46712,                0.58191,                0.57931,                0.28235,                  1.732,                 1.8524,                 1.8907,              0.0009637,              0.0009637,              0.0009637
                     14,                 1.5199,                 1.6938,                 1.6277,                0.55428,                0.63216,                0.65365,                0.32092,                 1.6733,                 1.6488,                 1.8432,              0.0009604,              0.0009604,              0.0009604
                     15,                 1.4753,                 1.7236,                 1.6247,                0.54199,                0.57136,                 0.5774,                0.29207,                 1.6296,                  1.767,                 1.8349,              0.0009571,              0.0009571,              0.0009571
                     16,                 1.4836,                 1.6696,                 1.6214,                0.68601,                0.53865,                0.62284,                0.29707,                 1.7267,                 1.6857,                 1.8841,              0.0009538,              0.0009538,              0.0009538
                     17,                 1.4728,                 1.6474,                 1.6072,                0.56889,                0.55982,                0.62574,                0.31693,                  1.664,                  1.628,                 1.8224,              0.0009505,              0.0009505,              0.0009505
                     18,                 1.4679,                  1.627,                 1.6042,                0.62658,                0.58788,                0.64646,                0.34444,                 1.6551,                 1.5509,                 1.7926,              0.0009472,              0.0009472,              0.0009472
                     19,                 1.4761,                 1.6305,                 1.6201,                0.52005,                0.62089,                0.60881,                0.29758,                 1.7153,                 1.6834,                 1.8543,              0.0009439,              0.0009439,              0.0009439
                     20,                 1.4532,                 1.5739,                 1.6002,                0.57336,                0.61923,                0.65246,                0.33007,                 1.6614,                  1.624,                   1.83,              0.0009406,              0.0009406,              0.0009406
                     21,                 1.4329,                 1.5658,                 1.5885,                0.75304,                0.55656,                0.67903,                0.34433,                 1.6115,                 1.5316,                 1.7739,              0.0009373,              0.0009373,              0.0009373
                     22,                 1.4461,                 1.5854,                 1.5795,                0.58275,                0.64882,                0.66125,                0.33544,                 1.6539,                 1.5758,                 1.8081,               0.000934,               0.000934,               0.000934
                     23,                 1.4464,                 1.5311,                 1.5932,                0.76802,                0.56173,                0.66629,                0.34721,                 1.6213,                  1.548,                 1.7833,              0.0009307,              0.0009307,              0.0009307
                     24,                 1.4596,                 1.5819,                 1.5986,                0.66156,                  0.602,                0.65649,                0.34045,                 1.6316,                 1.5584,                 1.7759,              0.0009274,              0.0009274,              0.0009274
                     25,                 1.4361,                 1.5651,                 1.5987,                0.56068,                0.66172,                 0.6449,                0.32871,                 1.6568,                 1.5341,                 1.8166,              0.0009241,              0.0009241,              0.0009241
                     26,                 1.4393,                 1.5534,                 1.5927,                0.56801,                0.65229,                0.67251,                 0.3523,                 1.6102,                 1.4804,                 1.7636,              0.0009208,              0.0009208,              0.0009208
                     27,                  1.425,                 1.5196,                 1.5804,                0.54429,                0.65652,                0.65789,                0.33072,                 1.6406,                 1.5726,                 1.8131,              0.0009175,              0.0009175,              0.0009175
                     28,                 1.4354,                 1.5304,                 1.5828,                0.72901,                0.56077,                0.65656,                0.34684,                 1.6417,                 1.5519,                 1.7789,              0.0009142,              0.0009142,              0.0009142
                     29,                 1.4241,                 1.5088,                 1.5786,                0.66352,                0.64568,                0.70485,                0.37987,                  1.592,                 1.4788,                 1.7504,              0.0009109,              0.0009109,              0.0009109
                     30,                 1.4153,                 1.4854,                 1.5712,                0.64853,                0.63106,                0.68872,                0.36374,                 1.6228,                 1.4812,                 1.7513,              0.0009076,              0.0009076,              0.0009076
                     31,                 1.4169,                 1.4855,                 1.5708,                 0.7271,                 0.5946,                0.67387,                0.33747,                 1.6512,                 1.5094,                 1.7854,              0.0009043,              0.0009043,              0.0009043
                     32,                 1.4109,                 1.5006,                 1.5755,                0.62917,                0.64965,                0.68292,                0.34397,                 1.6685,                  1.481,                 1.8224,               0.000901,               0.000901,               0.000901
                     33,                 1.3794,                 1.4552,                 1.5473,                0.61296,                0.67528,                0.70268,                0.36584,                 1.5876,                 1.4558,                 1.7454,              0.0008977,              0.0008977,              0.0008977
                     34,                 1.3904,                 1.4591,                 1.5547,                0.67888,                0.65301,                0.69185,                0.36258,                 1.5968,                 1.4641,                 1.7796,              0.0008944,              0.0008944,              0.0008944
                     35,                 1.3967,                 1.4451,                 1.5487,                0.65015,                0.63175,                0.68342,                0.34399,                 1.6619,                 1.4516,                 1.8065,              0.0008911,              0.0008911,              0.0008911
                     36,                 1.3834,                 1.4521,                   1.54,                 0.6048,                0.66959,                0.69493,                0.37005,                 1.5961,                 1.4312,                 1.7629,              0.0008878,              0.0008878,              0.0008878
                     37,                 1.3742,                 1.4515,                 1.5378,                0.65304,                0.63975,                0.70033,                0.36551,                 1.6375,                  1.434,                 1.7842,              0.0008845,              0.0008845,              0.0008845
                     38,                 1.3798,                 1.4405,                 1.5519,                0.57768,                0.60478,                0.62576,                0.31441,                 1.6413,                 1.6411,                 1.8145,              0.0008812,              0.0008812,              0.0008812
                     39,                  1.405,                 1.4523,                 1.5495,                0.63852,                0.64216,                 0.6872,                0.34656,                 1.6768,                 1.4653,                 1.8201,              0.0008779,              0.0008779,              0.0008779
                     40,                 1.3657,                  1.426,                 1.5403,                0.64278,                0.65687,                0.69048,                0.36518,                 1.6049,                 1.4388,                 1.7621,              0.0008746,              0.0008746,              0.0008746
                     41,                 1.3681,                 1.4337,                 1.5322,                0.62982,                0.64143,                0.68671,                0.37392,                 1.5935,                 1.4604,                  1.766,              0.0008713,              0.0008713,              0.0008713
                     42,                   1.37,                 1.4174,                 1.5344,                0.59511,                0.66775,                 0.6865,                0.36132,                 1.5963,                 1.4437,                 1.7368,               0.000868,               0.000868,               0.000868
                     43,                 1.3904,                 1.4512,                 1.5457,                0.82562,                0.54078,                 0.6878,                 0.3639,                 1.5761,                 1.4396,                 1.7438,              0.0008647,              0.0008647,              0.0008647
                     44,                 1.3566,                 1.4143,                 1.5349,                0.64223,                0.66023,                0.69015,                0.36288,                 1.6368,                 1.4403,                 1.7814,              0.0008614,              0.0008614,              0.0008614
                     45,                 1.3707,                 1.3865,                   1.53,                0.62497,                0.66922,                0.69509,                0.37188,                 1.5835,                 1.3966,                 1.7429,              0.0008581,              0.0008581,              0.0008581
                     46,                 1.3562,                 1.3708,                 1.5134,                0.67554,                0.65053,                0.69837,                 0.3719,                  1.606,                 1.3855,                 1.7189,              0.0008548,              0.0008548,              0.0008548
                     47,                 1.3577,                 1.3923,                  1.537,                0.63609,                0.68467,                0.71316,                0.39144,                 1.5631,                 1.3523,                  1.709,              0.0008515,              0.0008515,              0.0008515
                     48,                 1.3624,                 1.3869,                 1.5341,                0.58785,                 0.6665,                0.68318,                0.36744,                 1.5838,                 1.4205,                 1.7447,              0.0008482,              0.0008482,              0.0008482
                     49,                 1.3321,                 1.3676,                 1.5166,                0.65797,                0.66385,                 0.7018,                0.36952,                 1.6181,                 1.3792,                 1.7632,              0.0008449,              0.0008449,              0.0008449
                     50,                 1.3418,                 1.3802,                  1.509,                0.63624,                0.65553,                0.71788,                0.39443,                 1.5489,                 1.3796,                 1.7165,              0.0008416,              0.0008416,              0.0008416
                     51,                 1.3509,                 1.3357,                  1.518,                0.60339,                0.63756,                0.65883,                0.36386,                 1.5936,                 1.4361,                 1.7407,              0.0008383,              0.0008383,              0.0008383
                     52,                 1.3572,                 1.3479,                 1.5085,                0.63456,                0.67923,                0.69655,                0.37314,                 1.5915,                 1.3877,                 1.7369,               0.000835,               0.000835,               0.000835
                     53,                 1.3533,                 1.3665,                 1.5201,                0.64085,                0.66397,                0.71443,                0.39168,                 1.5444,                 1.3783,                 1.7166,              0.0008317,              0.0008317,              0.0008317
                     54,                 1.3542,                 1.3509,                 1.5203,                0.62343,                0.66873,                0.68962,                0.37079,                 1.5821,                 1.4158,                 1.7292,              0.0008284,              0.0008284,              0.0008284
                     55,                 1.3476,                 1.3835,                 1.5263,                0.64657,                0.64429,                0.69302,                0.35902,                 1.6498,                 1.4354,                 1.7531,              0.0008251,              0.0008251,              0.0008251
                     56,                 1.3423,                 1.3371,                  1.504,                0.60796,                0.70729,                0.72346,                0.39148,                 1.5622,                 1.3424,                  1.704,              0.0008218,              0.0008218,              0.0008218
                     57,                 1.3498,                 1.3626,                 1.5277,                0.62102,                0.67725,                0.70627,                0.37664,                  1.555,                 1.3797,                 1.7278,              0.0008185,              0.0008185,              0.0008185
                     58,                  1.347,                  1.338,                   1.51,                0.64849,                0.67488,                0.71673,                0.39124,                 1.5532,                 1.3776,                 1.7036,              0.0008152,              0.0008152,              0.0008152
                     59,                  1.353,                 1.3458,                  1.511,                0.60313,                0.64804,                0.67472,                 0.3588,                 1.6251,                 1.4435,                 1.7597,              0.0008119,              0.0008119,              0.0008119
                     60,                 1.3528,                 1.3467,                 1.5044,                0.66273,                0.62267,                0.68968,                0.36573,                 1.6116,                 1.4204,                 1.7732,              0.0008086,              0.0008086,              0.0008086
                     61,                 1.3315,                 1.3407,                 1.5087,                0.70098,                0.63378,                0.70581,                0.38134,                 1.5768,                 1.3604,                 1.7048,              0.0008053,              0.0008053,              0.0008053
                     62,                 1.3335,                 1.3083,                 1.5001,                0.62331,                0.65798,                0.69646,                0.37428,                 1.5919,                 1.3821,                 1.7362,               0.000802,               0.000802,               0.000802
                     63,                 1.3529,                 1.3515,                 1.5201,                0.65632,                0.63399,                0.69594,                0.37976,                 1.5475,                 1.3969,                 1.6914,              0.0007987,              0.0007987,              0.0007987
                     64,                  1.362,                  1.373,                 1.5213,                0.60903,                0.68603,                0.70147,                0.37949,                 1.5819,                 1.3668,                 1.7072,              0.0007954,              0.0007954,              0.0007954
                     65,                  1.352,                 1.3566,                 1.5292,                0.67829,                 0.6624,                0.71194,                0.39069,                 1.5701,                   1.35,                 1.6866,              0.0007921,              0.0007921,              0.0007921
                     66,                 1.3533,                 1.3242,                 1.5089,                 0.6175,                0.67661,                0.68506,                0.37939,                 1.5618,                 1.3811,                 1.7088,              0.0007888,              0.0007888,              0.0007888
                     67,                 1.3099,                 1.3108,                 1.4833,                0.69086,                0.63655,                0.70273,                0.38925,                 1.5612,                 1.3371,                 1.7104,              0.0007855,              0.0007855,              0.0007855
                     68,                 1.3106,                 1.2835,                 1.4979,                0.63999,                0.64995,                0.70212,                0.38764,                 1.5621,                 1.3425,                 1.6922,              0.0007822,              0.0007822,              0.0007822
                     69,                 1.3075,                 1.3122,                 1.4991,                0.69106,                0.65132,                 0.7145,                0.38742,                 1.5675,                 1.3172,                 1.7102,              0.0007789,              0.0007789,              0.0007789
                     70,                 1.3003,                 1.2835,                 1.4932,                0.66835,                0.66461,                 0.7179,                0.37979,                 1.5869,                 1.3194,                 1.7321,              0.0007756,              0.0007756,              0.0007756
                     71,                 1.3106,                 1.3156,                 1.4919,                0.64745,                0.66365,                0.69739,                0.37253,                 1.5761,                  1.382,                 1.7254,              0.0007723,              0.0007723,              0.0007723
                     72,                 1.3055,                 1.2888,                 1.4876,                0.63843,                0.64863,                0.68503,                0.36474,                 1.5841,                 1.3592,                  1.729,               0.000769,               0.000769,               0.000769
                     73,                 1.3329,                 1.2912,                 1.5085,                0.64735,                0.69691,                0.71746,                0.38721,                 1.5586,                 1.3166,                 1.7235,              0.0007657,              0.0007657,              0.0007657
                     74,                 1.3029,                  1.266,                 1.4885,                0.65741,                0.66634,                0.72656,                0.40793,                 1.5407,                 1.2888,                 1.7017,              0.0007624,              0.0007624,              0.0007624
                     75,                  1.298,                  1.272,                 1.4842,                0.65393,                0.66954,                0.71743,                0.39581,                 1.5606,                 1.3222,                 1.7123,              0.0007591,              0.0007591,              0.0007591
                     76,                  1.308,                 1.3312,                 1.4927,                0.76172,                0.61462,                0.70484,                0.38812,                 1.5777,                 1.3638,                 1.7016,              0.0007558,              0.0007558,              0.0007558
                     77,                 1.3153,                 1.3118,                 1.4996,                0.64171,                0.68243,                 0.7067,                0.37541,                 1.5917,                 1.3342,                 1.7206,              0.0007525,              0.0007525,              0.0007525
                     78,                 1.3319,                 1.2881,                 1.4947,                0.64514,                0.67218,                0.72168,                0.38716,                 1.5813,                 1.2987,                 1.7215,              0.0007492,              0.0007492,              0.0007492
                     79,                 1.3043,                 1.2691,                 1.4916,                 0.7024,                0.67722,                0.72962,                0.40379,                 1.5612,                 1.2874,                 1.7033,              0.0007459,              0.0007459,              0.0007459
                     80,                 1.2754,                 1.2439,                 1.4724,                0.63268,                0.69176,                0.72102,                 0.3941,                 1.5434,                 1.3138,                 1.6904,              0.0007426,              0.0007426,              0.0007426
                     81,                 1.2867,                 1.2511,                 1.4679,                0.70628,                0.66416,                0.73957,                0.39808,                 1.5783,                 1.2954,                 1.7203,              0.0007393,              0.0007393,              0.0007393
                     82,                   1.28,                 1.2638,                 1.4715,                0.68965,                 0.6668,                0.73121,                0.40242,                 1.5687,                 1.3129,                 1.7251,               0.000736,               0.000736,               0.000736
                     83,                 1.2872,                 1.2683,                   1.48,                0.71908,                0.65794,                0.74419,                0.39773,                 1.6028,                 1.3103,                 1.7167,              0.0007327,              0.0007327,              0.0007327
                     84,                 1.3045,                 1.2566,                 1.4771,                0.62022,                0.68875,                0.71651,                0.38816,                 1.5804,                 1.3275,                 1.7213,              0.0007294,              0.0007294,              0.0007294
                     85,                 1.3032,                 1.2506,                 1.4808,                0.70038,                 0.6531,                0.72718,                0.39273,                 1.5876,                 1.2977,                 1.7346,              0.0007261,              0.0007261,              0.0007261
                     86,                 1.2966,                  1.258,                 1.4735,                0.66379,                0.69845,                0.74182,                0.40309,                 1.5535,                 1.2578,                 1.7067,              0.0007228,              0.0007228,              0.0007228
                     87,                 1.2818,                  1.225,                 1.4604,                0.69076,                0.65835,                0.73933,                0.39798,                 1.5669,                 1.3029,                 1.6904,              0.0007195,              0.0007195,              0.0007195
                     88,                 1.2628,                 1.2215,                 1.4523,                0.65881,                0.68129,                0.72521,                0.39775,                 1.5503,                 1.2939,                 1.6948,              0.0007162,              0.0007162,              0.0007162
                     89,                 1.2772,                 1.2246,                 1.4609,                0.67163,                0.70141,                0.72823,                0.39288,                 1.6071,                 1.3051,                 1.7252,              0.0007129,              0.0007129,              0.0007129
                     90,                 1.2872,                 1.2308,                 1.4554,                0.67151,                0.69002,                0.73566,                0.40573,                 1.5546,                 1.3002,                 1.6923,              0.0007096,              0.0007096,              0.0007096
                     91,                 1.2711,                 1.2131,                 1.4597,                0.64399,                0.67472,                0.73778,                0.40512,                 1.5748,                 1.2957,                 1.7179,              0.0007063,              0.0007063,              0.0007063
                     92,                 1.2648,                 1.2187,                  1.453,                0.66732,                0.67718,                0.73493,                0.40094,                 1.5797,                 1.2684,                  1.731,               0.000703,               0.000703,               0.000703
                     93,                 1.2501,                  1.212,                 1.4508,                  0.664,                0.68903,                 0.7291,                0.39963,                 1.5449,                 1.2574,                 1.7129,              0.0006997,              0.0006997,              0.0006997
                     94,                 1.2833,                 1.2296,                 1.4688,                  0.629,                 0.7009,                0.71846,                0.40475,                 1.5583,                 1.2722,                    1.7,              0.0006964,              0.0006964,              0.0006964
                     95,                 1.2733,                 1.2216,                 1.4547,                0.67081,                0.67461,                0.71425,                0.38812,                 1.5928,                 1.2953,                 1.7453,              0.0006931,              0.0006931,              0.0006931
                     96,                 1.2834,                 1.2356,                 1.4658,                0.64572,                0.66502,                0.71467,                0.39437,                 1.5692,                 1.2843,                 1.7096,              0.0006898,              0.0006898,              0.0006898
                     97,                 1.2781,                 1.2007,                 1.4568,                0.66563,                0.68238,                0.73864,                0.41389,                 1.5526,                 1.2565,                 1.7168,              0.0006865,              0.0006865,              0.0006865
                     98,                 1.2488,                 1.1776,                   1.45,                0.68481,                0.66697,                0.74219,                0.41097,                 1.5459,                 1.2403,                 1.6914,              0.0006832,              0.0006832,              0.0006832
                     99,                 1.2575,                 1.2255,                 1.4573,                0.64915,                0.70923,                0.73999,                0.41591,                 1.5445,                 1.2421,                 1.6994,              0.0006799,              0.0006799,              0.0006799
                    100,                 1.2667,                 1.1935,                 1.4463,                0.63974,                0.68936,                0.70634,                0.39595,                 1.5371,                 1.2759,                 1.6906,              0.0006766,              0.0006766,              0.0006766
                    101,                 1.2459,                  1.179,                 1.4429,                0.64554,                0.68398,                0.72704,                0.41237,                 1.5369,                 1.2419,                 1.6833,              0.0006733,              0.0006733,              0.0006733
                    102,                 1.2524,                 1.1722,                 1.4438,                0.70242,                0.68347,                0.73907,                 0.4072,                 1.5664,                 1.2438,                 1.6875,                0.00067,                0.00067,                0.00067
                    103,                 1.2635,                 1.1715,                 1.4475,                0.65363,                0.72613,                0.74182,                0.40837,                 1.5415,                 1.2464,                 1.6924,              0.0006667,              0.0006667,              0.0006667
                    104,                 1.2761,                 1.1932,                 1.4491,                 0.7126,                0.66075,                0.72798,                0.39967,                 1.5606,                 1.2575,                 1.7097,              0.0006634,              0.0006634,              0.0006634
                    105,                 1.2505,                 1.1959,                 1.4457,                 0.7073,                0.69844,                0.74083,                0.40992,                 1.5474,                 1.2322,                 1.6996,              0.0006601,              0.0006601,              0.0006601
                    106,                 1.2443,                 1.1745,                 1.4392,                0.71686,                0.67494,                0.73495,                0.40684,                 1.5795,                 1.2402,                 1.7046,              0.0006568,              0.0006568,              0.0006568
                    107,                   1.24,                 1.1755,                 1.4401,                0.69714,                0.67943,                0.74045,                0.41428,                 1.5451,                 1.2646,                 1.6938,              0.0006535,              0.0006535,              0.0006535
                    108,                 1.2592,                 1.1794,                 1.4425,                0.72379,                0.67181,                0.74253,                0.42164,                 1.5123,                  1.234,                  1.665,              0.0006502,              0.0006502,              0.0006502
                    109,                 1.2293,                 1.1738,                 1.4324,                0.69461,                 0.6987,                0.74307,                0.41924,                 1.5264,                 1.2351,                 1.6841,              0.0006469,              0.0006469,              0.0006469
                    110,                 1.2409,                 1.1548,                 1.4311,                 0.6562,                0.72594,                0.75978,                0.42504,                  1.511,                 1.2194,                 1.6728,              0.0006436,              0.0006436,              0.0006436
                    111,                 1.2451,                 1.1705,                 1.4342,                0.70953,                0.72384,                0.74556,                0.41641,                 1.5281,                  1.228,                 1.6843,              0.0006403,              0.0006403,              0.0006403
                    112,                 1.2417,                 1.1557,                 1.4401,                0.74207,                0.66113,                0.72586,                0.40737,                 1.5625,                 1.2574,                 1.7034,               0.000637,               0.000637,               0.000637
                    113,                 1.2397,                 1.1574,                 1.4389,                0.68637,                0.67745,                0.73489,                 0.4021,                 1.5731,                 1.2584,                 1.6998,              0.0006337,              0.0006337,              0.0006337
                    114,                 1.2292,                  1.168,                 1.4388,                0.65851,                0.70422,                 0.7279,                 0.4075,                 1.5487,                 1.2488,                 1.7086,              0.0006304,              0.0006304,              0.0006304
                    115,                 1.2581,                 1.1652,                 1.4468,                0.72838,                0.67946,                0.74086,                0.41168,                 1.5521,                 1.2464,                 1.6875,              0.0006271,              0.0006271,              0.0006271
                    116,                 1.2537,                 1.1733,                 1.4455,                0.66083,                 0.7146,                0.72391,                0.40303,                 1.5696,                 1.2631,                 1.7123,              0.0006238,              0.0006238,              0.0006238
                    117,                 1.2401,                 1.1656,                 1.4384,                0.69652,                0.67599,                0.73892,                0.40526,                 1.5613,                 1.2334,                 1.7107,              0.0006205,              0.0006205,              0.0006205
